Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
4.0,1,5,6,yes,yes,shell programming,database security,excellent,poor,cloud computing,developer,BPA,no,Prayer books,Management,smart worker,no,no,Mobile Applications Developer
4.0,5,5,2,yes,yes,hadoop,game development,medium,excellent,Software Engineering,Business process analyst,Sales and Marketing,no,Travel,Technical,smart worker,no,yes,Web Developer
3.0,6,4,8,yes,yes,r programming,testing,excellent,poor,data engineering,cloud computing,product development,yes,Series,Technical,hard worker,,yes,UX Designer
3.0,5,3,8,no,no,information security,data science,poor,poor,parallel computing,system developer,Web Services,no,Guide,Management,hard worker,yes,yes,UX Designer
3.0,2,3,1,no,no,hadoop,testing,poor,poor,Computer Architecture,security,product development,no,Prayer books,Technical,smart worker,no,yes,Technical Support
4.0,3,4,3,yes,no,r programming,data science,poor,poor,Computer Architecture,Business process analyst,Finance,no,Guide,Management,smart worker,no,yes,Database Developer
,4,9,9,yes,yes,hadoop,testing,medium,excellent,Computer Architecture,Business process analyst,Finance,no,Autobiographies,,hard worker,no,yes,UX Designer
4.0,0,2,5,no,no,full stack,testing,poor,excellent,Management,developer,Service Based,no,Art,Management,hard worker,no,no,Database Developer
9.0,4,9,6,yes,yes,app development,cloud computing,excellent,medium,data engineering,Business process analyst,SAaS services,yes,Health,Technical,hard worker,yes,no,Applications Developer
1.0,3,1,4,no,no,distro making,database security,medium,excellent,parallel computing,system developer,Sales and Marketing,yes,Travel,Management,smart worker,yes,yes,Database Developer
8.0,3,1,2,yes,yes,machine learning,testing,excellent,poor,Software Engineering,system developer,Sales and Marketing,no,Prayer books,Technical,smart worker,yes,no,Mobile Applications Developer
7.0,3,5,8,yes,yes,hadoop,game development,poor,medium,Management,testing,BPA,yes,Guide,Management,smart worker,yes,no,UX Designer
2.0,4,6,6,yes,no,machine learning,testing,poor,medium,data engineering,system developer,SAaS services,yes,Journals,Technical,hard worker,yes,yes,UX Designer
8.0,6,6,5,yes,no,python,web technologies,poor,medium,cloud computing,cloud computing,product development,no,Autobiographies,Technical,hard worker,no,yes,Network Security Engineer
